page,x,y,width,height,stroke_color,fill_color,line_width
1,78.04,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,118.87,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,159.7,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,200.53,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,241.36,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,282.19,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,323.02,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,363.85,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,404.68,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,445.51,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,486.34,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,527.17,289.5,40.83,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,277.5,30.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,57.62,277.5,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,78.04,277.5,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,98.45,277.5,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,118.87,277.5,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,139.28,277.5,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,159.7,277.5,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,180.11,277.5,20.42,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
