page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,0,518.15,442.0,F2,7.0,484.96,439.5,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,562.11,442.0,F2,7.0,524.04,439.5,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Projector,29.0,430.25,F2,7.5,27.0,428.0,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1,123.58,431.0,F2,7.0,103.86,428.0,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,DTH,131.48,430.25,F2,7.5,129.48,428.0,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,214.78,431.0,F2,7.0,206.33,428.0,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,DigiBoard,233.95,430.25,F2,7.5,231.95,428.0,76.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,328.54,431.0,F2,7.0,308.81,428.0,25.62,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Free uniform,340.43,430.0,F2,7.5,338.43,428.0,146.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,518.15,430.5,F2,7.0,484.96,428.0,39.08,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,562.11,430.5,F2,7.0,524.04,428.0,43.96,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,SMC & SMDC Information,157.4,415.0,F1,7.0,27.0,413.0,346.36,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Indicators,401.48,414.75,F1,7.0,377.36,412.5,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Pri.,461.06,414.5,F2,7.5,459.06,412.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Up.Pri,488.3,414.5,F2,7.5,486.3,412.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Sec.,515.53,414.5,F2,7.5,513.53,412.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,H.Sec,542.77,414.5,F2,7.5,540.77,412.5,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,SMC Exists,29.0,403.5,F2,7.5,27.0,401.5,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,124.29,404.0,F2,7.0,112.79,401.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,SMC & SMDC Same,146.57,403.5,F2,7.5,144.57,401.5,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,NA,250.42,404.0,F2,7.0,230.37,401.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,SMDC Constituted,264.14,403.5,F2,7.5,262.14,401.5,79.44,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,341.58,401.5,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Instructional days,379.36,403.0,F2,7.5,377.36,401.0,81.7,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,245,472.62,403.5,F2,7.0,459.06,401.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,507.64,403.5,F2,7.0,486.3,401.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,534.87,403.5,F2,7.0,513.53,401.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,0,562.11,403.5,F2,7.0,540.77,401.0,27.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Text Books Received,29.0,392.0,F2,7.5,27.0,390.0,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,124.29,392.5,F2,7.0,112.79,390.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Special Training,146.57,392.0,F2,7.5,144.57,390.0,85.79,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,244.97,392.5,F2,7.0,230.37,390.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Material for Training,264.14,392.0,F2,7.5,262.14,390.0,79.44,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,353.07,392.5,F2,7.0,341.58,390.0,31.78,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
